('Episode: 204', 'Reward: 1420.0', 'Loss: 2.44902253151', 'Explore P: 0.1000')
('Episode: 205', 'Reward: 720.0', 'Loss: 3.43512034416', 'Explore P: 0.1000')
('Episode: 206', 'Reward: 620.0', 'Loss: 6.56866312027', 'Explore P: 0.1000')
('Episode: 207', 'Reward: 500.0', 'Loss: 6.67383575439', 'Explore P: 0.1000')
('Episode: 208', 'Reward: 380.0', 'Loss: 5.07488441467', 'Explore P: 0.1000')
('Episode: 209', 'Reward: 680.0', 'Loss: 3.12950849533', 'Explore P: 0.1000')
('Episode: 210', 'Reward: 600.0', 'Loss: 7.2735414505', 'Explore P: 0.1000')
('Episode: 211', 'Reward: 1320.0', 'Loss: 4.39848327637', 'Explore P: 0.1000')
('Episode: 212', 'Reward: 780.0', 'Loss: 3.50589799881', 'Explore P: 0.1000')
('Episode: 213', 'Reward: 380.0', 'Loss: 2.04365491867', 'Explore P: 0.1000')
('Episode: 214', 'Reward: 520.0', 'Loss: 3.7275159359', 'Explore P: 0.1000')
('Episode: 215', 'Reward: 420.0', 'Loss: 3.56418943405', 'Explore P: 0.1000')
('Episode: 216', 'Reward: 780.0', 'Loss: 2.95760059357', 'Explore P: 0.1000')
('Episode: 217', 'Reward: 620.0', 'Loss: 2.62785959244', 'Explore P: 0.1000')
('Episode: 218', 'Reward: 1490.0', 'Loss: 3.91241264343', 'Explore P: 0.1000')
('Episode: 219', 'Reward: 440.0', 'Loss: 7.78134393692', 'Explore P: 0.1000')
('Episode: 220', 'Reward: 540.0', 'Loss: 2.62745070457', 'Explore P: 0.1000')
('Episode: 221', 'Reward: 460.0', 'Loss: 3.80239605904', 'Explore P: 0.1000')
('Episode: 222', 'Reward: 600.0', 'Loss: 2.91577839851', 'Explore P: 0.1000')
('Episode: 223', 'Reward: 900.0', 'Loss: 3.7373752594', 'Explore P: 0.1000')
('Episode: 224', 'Reward: 850.0', 'Loss: 3.01159715652', 'Explore P: 0.1000')
('Episode: 225', 'Reward: 3180.0', 'Loss: 3.07524943352', 'Explore P: 0.1000')
('Episode: 226', 'Reward: 320.0', 'Loss: 8.03974246979', 'Explore P: 0.1000')
('Episode: 227', 'Reward: 720.0', 'Loss: 5.09395122528', 'Explore P: 0.1000')
('Episode: 228', 'Reward: 660.0', 'Loss: 4.12363433838', 'Explore P: 0.1000')
('Episode: 229', 'Reward: 460.0', 'Loss: 2.30870771408', 'Explore P: 0.1000')
('Episode: 230', 'Reward: 520.0', 'Loss: 15.3351392746', 'Explore P: 0.1000')
('Episode: 231', 'Reward: 680.0', 'Loss: 3.37793159485', 'Explore P: 0.1000')
('Episode: 232', 'Reward: 840.0', 'Loss: 1.47910761833', 'Explore P: 0.1000')
('Episode: 233', 'Reward: 520.0', 'Loss: 3.87762880325', 'Explore P: 0.1000')
('Episode: 234', 'Reward: 660.0', 'Loss: 4.58342885971', 'Explore P: 0.1000')
('Episode: 235', 'Reward: 1160.0', 'Loss: 2.25242733955', 'Explore P: 0.1000')
('Episode: 236', 'Reward: 2360.0', 'Loss: 3.07082629204', 'Explore P: 0.1000')
('Episode: 237', 'Reward: 870.0', 'Loss: 4.05246639252', 'Explore P: 0.1000')
('Episode: 238', 'Reward: 1350.0', 'Loss: 2.45284223557', 'Explore P: 0.1000')
('Episode: 239', 'Reward: 1100.0', 'Loss: 2.92221593857', 'Explore P: 0.1000')
('Episode: 240', 'Reward: 900.0', 'Loss: 3.19354176521', 'Explore P: 0.1000')
('Episode: 241', 'Reward: 320.0', 'Loss: 2.41815590858', 'Explore P: 0.1000')
('Episode: 242', 'Reward: 1290.0', 'Loss: 5.02255582809', 'Explore P: 0.1000')
('Episode: 243', 'Reward: 500.0', 'Loss: 6.12822914124', 'Explore P: 0.1000')
('Episode: 244', 'Reward: 1440.0', 'Loss: 4.65455007553', 'Explore P: 0.1000')
('Episode: 245', 'Reward: 780.0', 'Loss: 3.60188150406', 'Explore P: 0.1000')
('Episode: 246', 'Reward: 1350.0', 'Loss: 1.87777614594', 'Explore P: 0.1000')
('Episode: 247', 'Reward: 1190.0', 'Loss: 2.2280626297', 'Explore P: 0.1000')
('Episode: 248', 'Reward: 640.0', 'Loss: 2.73228025436', 'Explore P: 0.1000')
('Episode: 249', 'Reward: 420.0', 'Loss: 4.24044418335', 'Explore P: 0.1000')
('Episode: 250', 'Reward: 1290.0', 'Loss: 4.46817302704', 'Explore P: 0.1000')
Model Saved
('Episode: 251', 'Reward: 520.0', 'Loss: 3.82204651833', 'Explore P: 0.1000')
('Episode: 252', 'Reward: 600.0', 'Loss: 19.0612258911', 'Explore P: 0.1000')
('Episode: 253', 'Reward: 540.0', 'Loss: 6.79205703735', 'Explore P: 0.1000')
('Episode: 254', 'Reward: 620.0', 'Loss: 4.8977856636', 'Explore P: 0.1000')
('Episode: 255', 'Reward: 2330.0', 'Loss: 4.01439142227', 'Explore P: 0.1000')
('Episode: 256', 'Reward: 1040.0', 'Loss: 2.72846961021', 'Explore P: 0.1000')
