('Episode: 146', 'Reward: 1940.0', 'Loss: 28.3908958435', 'Explore P: 0.1000')
('Episode: 147', 'Reward: 2320.0', 'Loss: 33.6758384705', 'Explore P: 0.1000')
('Episode: 148', 'Reward: 2530.0', 'Loss: 20.7368373871', 'Explore P: 0.1000')
('Episode: 149', 'Reward: 520.0', 'Loss: 41.0310745239', 'Explore P: 0.1000')
('Episode: 150', 'Reward: 680.0', 'Loss: 54.8012924194', 'Explore P: 0.1000')
('Episode: 151', 'Reward: 580.0', 'Loss: 58.7503814697', 'Explore P: 0.1000')
('Episode: 152', 'Reward: 2400.0', 'Loss: 45.2862319946', 'Explore P: 0.1000')
('Episode: 153', 'Reward: 4000.0', 'Loss: 41.2439651489', 'Explore P: 0.1000')
('Episode: 154', 'Reward: 2910.0', 'Loss: 42.9758377075', 'Explore P: 0.1000')
('Episode: 155', 'Reward: 1850.0', 'Loss: 48.1980323792', 'Explore P: 0.1000')
('Episode: 156', 'Reward: 2930.0', 'Loss: 68.366027832', 'Explore P: 0.1000')
('Episode: 157', 'Reward: 300.0', 'Loss: 50.1992454529', 'Explore P: 0.1000')
('Episode: 158', 'Reward: 440.0', 'Loss: 29.5301551819', 'Explore P: 0.1000')
('Episode: 159', 'Reward: 3860.0', 'Loss: 22.1307182312', 'Explore P: 0.1000')
('Episode: 160', 'Reward: 3310.0', 'Loss: 38.4967460632', 'Explore P: 0.1000')
('Episode: 161', 'Reward: 2420.0', 'Loss: 20.9537639618', 'Explore P: 0.1000')
('Episode: 162', 'Reward: 3220.0', 'Loss: 30.2861042023', 'Explore P: 0.1000')
('Episode: 163', 'Reward: 2460.0', 'Loss: 50.9038085938', 'Explore P: 0.1000')
('Episode: 164', 'Reward: 3770.0', 'Loss: 26.7216281891', 'Explore P: 0.1000')
('Episode: 165', 'Reward: 4820.0', 'Loss: 65.3021697998', 'Explore P: 0.1000')
('Episode: 166', 'Reward: 420.0', 'Loss: 26.0945072174', 'Explore P: 0.1000')
('Episode: 167', 'Reward: 4530.0', 'Loss: 35.195526123', 'Explore P: 0.1000')
('Episode: 168', 'Reward: 2330.0', 'Loss: 49.0502815247', 'Explore P: 0.1000')
('Episode: 169', 'Reward: 3620.0', 'Loss: 54.0792770386', 'Explore P: 0.1000')
('Episode: 170', 'Reward: 580.0', 'Loss: 41.0977668762', 'Explore P: 0.1000')
