
WARNING: The TensorFlow contrib module will not be included in TensorFlow 2.0.
For more information, please see:
  * https://github.com/tensorflow/community/blob/master/rfcs/20180907-contrib-sunset.md
  * https://github.com/tensorflow/addons
If you depend on functionality not listed there, please file an issue.

WARNING:tensorflow:From keras.py:136: conv2d (from tensorflow.python.layers.convolutional) is deprecated and will be removed in a future version.
Instructions for updating:
Use keras.layers.conv2d instead.
WARNING:tensorflow:From /home/james/.local/lib/python2.7/site-packages/tensorflow/python/framework/op_def_library.py:263: colocate_with (from tensorflow.python.framework.ops) is deprecated and will be removed in a future version.
Instructions for updating:
Colocations handled automatically by placer.
WARNING:tensorflow:From keras.py:141: batch_normalization (from tensorflow.python.layers.normalization) is deprecated and will be removed in a future version.
Instructions for updating:
Use keras.layers.batch_normalization instead.
WARNING:tensorflow:From keras.py:167: flatten (from tensorflow.python.layers.core) is deprecated and will be removed in a future version.
Instructions for updating:
Use keras.layers.flatten instead.
WARNING:tensorflow:From keras.py:175: dense (from tensorflow.python.layers.core) is deprecated and will be removed in a future version.
Instructions for updating:
Use keras.layers.dense instead.
WARNING:tensorflow:From /home/james/.local/lib/python2.7/site-packages/tensorflow/python/ops/losses/losses_impl.py:448: to_float (from tensorflow.python.ops.math_ops) is deprecated and will be removed in a future version.
Instructions for updating:
Use tf.cast instead.
WARNING:tensorflow:From /home/james/.local/lib/python2.7/site-packages/tensorflow/python/ops/math_ops.py:3066: to_int32 (from tensorflow.python.ops.math_ops) is deprecated and will be removed in a future version.
Instructions for updating:
Use tf.cast instead.
Memory Ready
Training Started
2019-04-05 12:15:14.203670: I tensorflow/core/platform/profile_utils/cpu_utils.cc:94] CPU Frequency: 3401000000 Hz
2019-04-05 12:15:14.205919: I tensorflow/compiler/xla/service/service.cc:150] XLA service 0x7fffd0963630 executing computations on platform Host. Devices:
2019-04-05 12:15:14.205989: I tensorflow/compiler/xla/service/service.cc:158]   StreamExecutor device (0): <undefined>, <undefined>
('Episode: 143', 'Reward: 560.0', 'Loss: 11.5726413727', 'Explore P: 0.1000')
('Episode: 144', 'Reward: 260.0', 'Loss: 1.08909094334', 'Explore P: 0.1000')
('Episode: 145', 'Reward: 500.0', 'Loss: 0.667656719685', 'Explore P: 0.1000')
('Episode: 146', 'Reward: 180.0', 'Loss: 1.79165422916', 'Explore P: 0.1000')
('Episode: 147', 'Reward: 260.0', 'Loss: 1.43311190605', 'Explore P: 0.1000')
('Episode: 148', 'Reward: 300.0', 'Loss: 0.63522619009', 'Explore P: 0.1000')
('Episode: 149', 'Reward: 200.0', 'Loss: 0.81686937809', 'Explore P: 0.1000')
('Episode: 150', 'Reward: 640.0', 'Loss: 2.83837509155', 'Explore P: 0.1000')
Model Saved
('Episode: 151', 'Reward: 700.0', 'Loss: 3.24446773529', 'Explore P: 0.1000')
('Episode: 152', 'Reward: 240.0', 'Loss: 1.8149869442', 'Explore P: 0.1000')
('Episode: 153', 'Reward: 860.0', 'Loss: 2.54882407188', 'Explore P: 0.1000')
('Episode: 154', 'Reward: 1720.0', 'Loss: 3.18246221542', 'Explore P: 0.1000')
('Episode: 155', 'Reward: 2410.0', 'Loss: 2.51817846298', 'Explore P: 0.1000')
('Episode: 156', 'Reward: 640.0', 'Loss: 2.73861646652', 'Explore P: 0.1000')
('Episode: 157', 'Reward: 440.0', 'Loss: 2.15607786179', 'Explore P: 0.1000')
('Episode: 158', 'Reward: 260.0', 'Loss: 9.411693573', 'Explore P: 0.1000')
('Episode: 159', 'Reward: 360.0', 'Loss: 2.94248175621', 'Explore P: 0.1000')
('Episode: 160', 'Reward: 420.0', 'Loss: 2.30250167847', 'Explore P: 0.1000')
('Episode: 161', 'Reward: 500.0', 'Loss: 2.54129314423', 'Explore P: 0.1000')
('Episode: 162', 'Reward: 1020.0', 'Loss: 1.42102026939', 'Explore P: 0.1000')
('Episode: 163', 'Reward: 440.0', 'Loss: 2.26310539246', 'Explore P: 0.1000')
('Episode: 164', 'Reward: 280.0', 'Loss: 1.34240436554', 'Explore P: 0.1000')
('Episode: 165', 'Reward: 420.0', 'Loss: 3.12340211868', 'Explore P: 0.1000')
('Episode: 166', 'Reward: 1500.0', 'Loss: 2.29814505577', 'Explore P: 0.1000')
('Episode: 167', 'Reward: 460.0', 'Loss: 2.17659425735', 'Explore P: 0.1000')
('Episode: 168', 'Reward: 180.0', 'Loss: 2.24848794937', 'Explore P: 0.1000')
('Episode: 169', 'Reward: 260.0', 'Loss: 2.28713059425', 'Explore P: 0.1000')
('Episode: 170', 'Reward: 1150.0', 'Loss: 3.79672765732', 'Explore P: 0.1000')
('Episode: 171', 'Reward: 500.0', 'Loss: 1.5616235733', 'Explore P: 0.1000')
('Episode: 172', 'Reward: 460.0', 'Loss: 1.77974128723', 'Explore P: 0.1000')
('Episode: 173', 'Reward: 1610.0', 'Loss: 2.65275907516', 'Explore P: 0.1000')
('Episode: 174', 'Reward: 580.0', 'Loss: 2.04092741013', 'Explore P: 0.1000')
